Sex,Age,Ethnicity,Ethnicity_Collapsed,Ethnicity_binary,Region,Type_Of_Org,Specific_Type_Of_Org,Education_Band,BORNUK,BORNUK_binary,Annual_Income,Weekly_Income,income_drop,income_group,OutsourcedNonOL,TradeUnion,TUCOV,Occupation_Catergory,Organisation_Catergory,Guaranteed_Hours,Notice_Of_Working_Hours,Notice_Of_Cancelled_Shifts,Cancelled_Shift_Pay,Sick_Pay,RightsViolations_Paid_On_Time,RightsViolations_Paid_Correct_Amount,RightsViolations_Leave_Entitlement,RightsViolations_Holiday_Pay,RightsViolations_Sick_Pay,RightsViolations_Pay_Slip,RightsViolations_Health_Safety,RightsViolations_None,RightsViolations_TEXT,Job_Satisfaction,Pay_Comparison,Training_Induction,Treatment_At_Work_InHouse,Treatment_At_Work_Managers,Treatment_At_Work_Overall,Inhouse_Discrimination_Age,Inhouse_Discrimination_Disability,Inhouse_Discrimination_Nationality,Inhouse_Discrimination_Ethnicity,Inhouse_Discrimination_Sex,Client_Discrimination_Age,Client_Discrimination_Disability,Client_Discrimination_Nationality,Client_Discrimination_Ethnicity,Client_Discrimination_Sex,Clarity1,Clarity2,Clarity3,Clarity4,Clarity5,Clarity6,Clarity7,Clarity8,Clarity9,Clarity10,Clarity11,Clarity_Overall_Mean,Why_Job_Like,Why_Job_Convinient,Why_Job_Flexibility,Why_Job_Pay,Why_Job_Collegues,Why_Job_Culture,Why_Job_Progress,Why_Job_BestAvailable,Why_Job_NotQualified,Why_Job_Health,Why_Job_Carer,Pros_And_Cons_Flexibility,Pros_And_Cons_Pay,Pros_And_Cons_Hours,Pros_And_Cons_Holiday,Pros_And_Cons_Terms,Pros_And_Cons_Promotion,Pros_And_Cons_Training,Pros_And_Cons_Security,Pros_And_Cons_Treatment,Pros_And_Cons_Specialisation,Pros_And_Cons_Connection,Pros_And_Cons_FeelInvested,Pros_And_Cons_Rights,Pros_And_Cons_HealthSafety,Work_Preference,What_Improvements_Pay,What_Improvements_MoreHours,What_Improvements_LessHours,What_Improvements_MoreConsistency,What_Improvements_MoreFlexibility,What_Improvements_PartofInhouse,What_Improvements_PartofOutsourced,What_Improvements_Treatment,What_Improvements_BetterTerms,What_Improvements_EnforceRights,What_Improvements_Management,What_Improvements_Autonomy,What_Improvements_Union,What_Improvements_Other,What_Improvements_None,What_Improvements_Other_TEXT,Complaints,Outsourced
Male,29,English / Welsh / Scottish / Northern Irish / British,White British,White,East of England,"A private firm, business or limited company",NA,Low,Prefer not to say,Prefer not to say,19746,424.2541436464088,0,Mid,group 1 outsourced and long term,NA,Don't know,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)",I’m not sure,25-35 hours,1-2 weeks,Not applicable - my job does not involve variable working hours or shift work,NA,I don’t know / I’m not sure,NA,NA,NA,NA,NA,NA,NA,None of these,,NA,NA – there are no in-house colleagues in comparable roles to mine,I don’t know / not sure,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,Always respected and treated well,Never,Rarely,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Not sure,Not sure,Not sure,Neither agree nor disagree,Neither agree nor disagree,Not sure,Not sure,Neither agree nor disagree,Not sure,Neither agree nor disagree,Not sure,3,I like doing this kind of work,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Don't know,Neither / no impact,Neither / no impact,Neither / no impact,Don't know,Don't know,Don't know,Don't know,Neither / no impact,Not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don’t think anything needs improving,,Not sure,1.6089548508584073
Male,34,Indian,Asian/Asian British,Non-White,Yorkshire and the Humber,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,NA,NA,0,NA,group 1 outsourced and long term,No,Yes,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,35+ hours,4 weeks or more,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,Not being paid for paid leave that I am entitled to,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,5,I think I get paid  less  than my colleagues in comparable roles who work in-house.,I did not feel prepared or adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Rarely,Don’t know,Never,Never,Never,Sometimes,Sometimes,Never,Neither agree nor disagree,Strongly disagree,Not sure,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,2.9,I like doing this kind of work,My job is in a convenient location,NA,NA,I like my colleagues,I like the workplace culture,NA,NA,NA,NA,NA,Neither / no impact,I get paid less,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would strongly prefer to be an in-house worker,Higher pay,More working hours,NA,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat disagree,0.9530073539102194
Female,27,African,Black/African/Caribbean/Black British,Non-White,North West,"A private firm, business or limited company",NA,High,Within the last year,Not born in UK,NA,NA,0,NA,group 1 outsourced and long term,No,Yes,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",35+ hours,Less than 24 hours,Yes,50-74%,I don’t know / I’m not sure,NA,NA,NA,NA,NA,Not being provided with a pay slip that shows how much I am being paid over a certain period of time,NA,NA,,5,I don’t know / I’m not sure,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Sometimes,Never,Don’t know,Never,Sometimes,Sometimes,Don’t know,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,4.2727272727272725,I like doing this kind of work,NA,I can work flexibly in a way which suits me,The pay is good,NA,I like the workplace culture,It is helping me develop skills and experience I need to progress,NA,NA,NA,I can do the job alongside childcare or caring for others,I get to work more flexibly,Don't know,I have more secure working hours,Don't know,Neither / no impact,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,Neither / no impact,My health and safety at work is more protected,I would strongly prefer to be an in-house worker,NA,NA,NA,More secure / consistent working hours,More flexible working hours,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Strongly agree,0.3659765418580319
Female,44,English / Welsh / Scottish / Northern Irish / British,White British,White,London,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,56000,1203.1921424186617,0,High,group 1 outsourced and long term,No,No,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)",Administrative and Support Service Activities  (provides administrative support or various services to other businesses.,35+ hours,4 weeks or more,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,NA,My job is in a convenient location,I can work flexibly in a way which suits me,The pay is good,NA,I like the workplace culture,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,I have more secure working hours,Neither / no impact,Neither / no impact,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I have no preference,NA,NA,NA,NA,More flexible working hours,NA,NA,NA,NA,Finding it easier to understand and enforce my rights,NA,NA,NA,NA,NA,,Strongly agree,1.7912364960545104
Female,36,"Any other Black, Black British, or Caribbean background",Black/African/Caribbean/Black British,Non-White,North West,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,102000,2191.528545119705,1,High,group 2 agency and long term,No,No,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",35+ hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,Not being given time off that I am entitled to,NA,NA,NA,NA,NA,,5,I think I get paid  less  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Rarely,Never,Rarely,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,NA,NA,I can work flexibly in a way which suits me,NA,NA,I like the workplace culture,It is helping me develop skills and experience I need to progress,NA,NA,NA,I can do the job alongside childcare or caring for others,I get to work more flexibly,Neither / no impact,I have more secure working hours,Neither / no impact,I get better terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,Neither / no impact,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would strongly prefer to be an in-house worker,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat disagree,0.2509285404595566
Female,34,White and Black Caribbean,Mixed/Multiple ethnic groups,Non-White,South West,"A private firm, business or limited company",NA,High,Within the last 5 years,Not born in UK,18000,386.7403314917127,0,Mid,group 1 outsourced and long term,NA,Don't know,"Caring and Leisure service occupations (e.g. care workers, travel agents, hairdressers, teaching assistants)","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",35+ hours,4-6 days,Yes,25-49%,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)",NA,NA,NA,Not being paid for paid leave that I am entitled to,NA,Not being provided with a pay slip that shows how much I am being paid over a certain period of time,Not having adequate health and safety protections,NA,,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  worse  than in-house staff,I feel I am treated  worse  than in-house staff,"Sometimes well, sometimes poorly",Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Don’t know,Sometimes,Sometimes,Never,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4.636363636363637,NA,NA,NA,NA,NA,NA,It is helping me develop skills and experience I need to progress,This was the best job available to me,I do not have the formal qualifications I need to do another job I would prefer,NA,I can do the job alongside childcare or caring for others,I get to work less flexibly,I get paid less,I have less secure working hours,I get worse holiday leave,I get worse terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have less job security,I am treated worse than in house colleagues,I have less opportunity to specialise in my role or industry,I feel less connected to people I work with,I feel more invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is less protected,I would strongly prefer to be an in-house worker,Higher pay,More working hours,NA,NA,NA,NA,NA,NA,NA,NA,Finding it easier to understand lines of management and who is responsible for me,NA,NA,NA,NA,,Somewhat agree,0.7405388903594379
Male,40,English / Welsh / Scottish / Northern Irish / British,White British,White,South East,"A private firm, business or limited company",NA,High,Prefer not to say,Prefer not to say,60000,1289.134438305709,0,High,group 1 outsourced and long term,No,No,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",35+ hours,1-2 weeks,No,NA,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I don’t know / not sure,I feel I am treated  worse  than in-house staff,I feel I am treated  better  than in-house staff,Always respected and treated well,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,4.090909090909091,NA,My job is in a convenient location,NA,The pay is good,I like my colleagues,NA,NA,NA,NA,NA,NA,I get to work more flexibly,I get paid more,Neither / no impact,I get worse holiday leave,I get better terms and conditions,Neither / no impact,Neither / no impact,I have less job security,Neither / no impact,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,Neither / no impact,I find it easier to assert my rights at work,Don't know,I would strongly prefer to be an in-house worker,NA,NA,NA,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,0.6518152475882975
Female,52,English / Welsh / Scottish / Northern Irish / British,White British,White,South West,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,26856,580.110497237569,0,Mid,group 1 outsourced and long term,No,Yes,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",9-15 hours,4-6 days,No,NA,"Yes, my employer pays me sick pay which is above the basic rate of statutory sick pay (£116.75 a week) but below my usu",NA,Not being paid the full amount I am entitled to for the work I have completed,Not being given time off that I am entitled to,NA,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,7,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,"Sometimes well, sometimes poorly",Rarely,Never,Never,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,NA,My job is in a convenient location,NA,NA,NA,I like the workplace culture,NA,NA,I do not have the formal qualifications I need to do another job I would prefer,NA,NA,I get to work more flexibly,I get paid more,I have more secure working hours,I get worse holiday leave,I get better terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would prefer to be an outsourced worker,Higher pay,NA,NA,More secure / consistent working hours,NA,NA,NA,Being treated better,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,1.2770441164100392
Male,19,English / Welsh / Scottish / Northern Irish / British,White British,White,Yorkshire and the Humber,"A private firm, business or limited company",NA,Mid,Within the last 5 years,Not born in UK,34907.142857142855,750,0,High,group 1 outsourced and long term,Prefer not to say,Yes,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",35+ hours,Less than 24 hours,Yes,75-99%,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)",NA,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,7,I think I get paid  less  than my colleagues in comparable roles who work in-house.,I did not feel prepared or adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Sometimes,Sometimes,Often,Sometimes,Rarely,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,3.4545454545454546,NA,NA,NA,NA,NA,I like the workplace culture,NA,NA,NA,NA,NA,I get to work more flexibly,Neither / no impact,Neither / no impact,Neither / no impact,I get better terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have more job security,Neither / no impact,I have more opportunity to specialise in my role or industry,Neither / no impact,I feel more invested in my role and my work,Neither / no impact,My health and safety at work is less protected,I would strongly prefer to be an outsourced worker,NA,NA,NA,More secure / consistent working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,1.7195617296346735
Female,32,English / Welsh / Scottish / Northern Irish / British,White British,White,South East,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,9308.57142857143,200,0,Low,group 3 5 or 6 indicators and long term,No,Don't know,"Administrative and secretarial occupations (e.g. clerk, secretary, receptionist)","Human Health and Social Work Activities (health and medical services, residential care, or social work activities)",9-15 hours,1-3 days,No,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually disrespected or treated poorly,Never,Never,Never,Never,Never,NA - I don't interact with clients  or customers in my role,Never,Never,Never,Never,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,4.181818181818182,I like doing this kind of work,My job is in a convenient location,I can work flexibly in a way which suits me,The pay is good,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,Higher pay,NA,NA,More secure / consistent working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Neither agree nor disagree,0.7754159348373841
Female,47,Indian,Asian/Asian British,Non-White,West Midlands,"A private firm, business or limited company",NA,High,Within the last 15 years,Not born in UK,7200,154.6961325966851,0,Low,group 1 outsourced and long term,No,No,"Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",16-24 hours,1-3 days,No,NA,"Yes, my employer pays the basic rate of statutory sick pay (£116.75 a week)",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  better  than in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.9,NA,NA,NA,The pay is good,I like my colleagues,I like the workplace culture,NA,This was the best job available to me,NA,NA,NA,Don't know,Neither / no impact,I have more secure working hours,I get better holiday leave,I get better terms and conditions,Don't know,I have  more access to training and development,I have more job security,I am treated better than in-house colleagues,Don't know,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I have no preference,NA,More working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly disagree,0.37365223271456804
Female,33,Any other White background,White Other,Non-White,London,"A private firm, business or limited company",NA,High,Within the last year,Not born in UK,40000,859.4229588704726,0,Mid,group 1 outsourced and long term,Yes,Yes,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",9-15 hours,1-3 days,Yes,25-49%,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",Not being paid on time,NA,NA,Not being paid for paid leave that I am entitled to,NA,NA,NA,NA,,6,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  better  than in-house staff,Usually respected and treated well,Sometimes,Sometimes,Sometimes,Never,Sometimes,Rarely,Rarely,Sometimes,Rarely,Never,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4.181818181818182,NA,NA,NA,NA,NA,NA,It is helping me develop skills and experience I need to progress,NA,NA,I can do the job alongside managing my health conditions,NA,I get to work less flexibly,I get paid more,I have more secure working hours,I get better holiday leave,I get better terms and conditions,I have less opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel less invested in my role and my work,I find it easier to assert my rights at work,My health and safety at work is more protected,I would strongly prefer to be an outsourced worker,NA,More working hours,NA,NA,NA,NA,NA,NA,NA,NA,Finding it easier to understand lines of management and who is responsible for me,Having more autonomy at work,NA,NA,NA,,Somewhat agree,1.1260462436318865
Female,27,African,Black/African/Caribbean/Black British,Non-White,North West,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,65000,1396.562308164518,1,High,group 1 outsourced and long term,Yes,No,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",35+ hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  more  than my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,4.909090909090909,I like doing this kind of work,NA,NA,NA,NA,NA,It is helping me develop skills and experience I need to progress,NA,NA,NA,NA,Neither / no impact,Neither / no impact,I have more secure working hours,I get better holiday leave,Neither / no impact,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,Neither / no impact,Neither / no impact,Neither / no impact,I would prefer to be an outsourced worker,Higher pay,NA,NA,NA,More flexible working hours,NA,Feeling more like a part of the team with other outsourced staff,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.3659765418580319
